Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 3: 336 2-9_94m_nw6_dry_BSA,Area Sample 3: 336 2-9_94m_nw6_dry_BSA,#Peptides,#Unique,#Spec Sample 3: 336 2-9_94m_nw6_dry_BSA,PTM,Avg. Mass,Description
1,2,CAA76847.1,457.05,94,94,2.33E10,573,569,1226,Carbamidomethylation; Oxidation (M),69324,bovine serum albumin [Bos taurus]
2,1,54036848,226.31,11,11,9.09E8,16,12,51,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,4,XP_003061104,115.36,15,15,7.77E6,10,6,11,Carbamidomethylation,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
11,8265,ETNP_70,104.71,12,12,7.06E5,5,1,6,Carbamidomethylation,41848,Bacterial actin-related protein
5,8279,ETNP_100,95.72,66,66,5.66E6,7,7,8,Oxidation (M),5311,hypothetical protein
65,8303,XP_002185049,79.62,11,11,6.55E5,2,2,2,,16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
65,8304,EJK77863,79.62,11,11,6.55E5,2,2,2,,16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
65,8305,EJK58168,79.62,11,11,6.55E5,2,2,2,,16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
65,8306,ETNP_90,79.62,10,10,6.55E5,2,2,2,,18514,EF hand
7,8268,WP_013260433,79.47,3,3,3.35E5,4,1,7,,96155,chaperone protein ClpB gamma proteobacterium HdN1
7,27,WP_011132214.1,79.47,3,3,3.35E5,4,1,7,,97364,chaperone protein ClpB [Prochlorococcus marinus]
7,8269,ETNP_100,79.47,3,3,3.35E5,4,1,7,,95265,Chaperone protein ClpB
7,8270,ETNP_120,79.47,3,3,3.35E5,4,1,7,,95265,Chaperone protein ClpB
7,2620,ETNP_120,79.47,3,3,3.35E5,4,1,7,,96281,Chaperone protein ClpB
7,2621,NP_300,79.47,3,3,3.35E5,4,1,7,,96223,Chaperone protein ClpB
7,11,WP_009773391.1,79.47,3,3,3.35E5,4,1,7,,79198,protein disaggregation chaperone [marine actinobacterium PHSC20C1]
7,8271,WP_001210050,79.47,3,3,3.35E5,4,1,7,,95142,chaperone protein ClpB Acinetobacter baumannii
7,8272,ADI91587.1,79.47,3,3,3.35E5,4,1,7,,95233,ATP-dependent chaperone ClpB [Acinetobacter oleivorans DR1]
7,8,ACJ00008.1,79.47,3,3,3.35E5,4,1,7,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
7,8275,ETNP_300,79.47,7,7,3.35E5,4,1,7,,40000,Chaperone protein ClpB
7,25,ACL71908.1,79.47,3,3,3.35E5,4,1,7,,95840,ATP-dependent chaperone ClpB [Thioalkalivibrio sulfidiphilus HL-EbGr7]
7,26,WP_011376136.1,79.47,3,3,3.35E5,4,1,7,,97126,chaperone protein ClpB [Prochlorococcus marinus]
7,8276,WP_014707596,79.47,3,3,3.35E5,4,1,7,,95984,chaperone protein ClpB Methylophaga nitratireducenticrescens
