Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja04-20170410,Area etnp-ja04-20170410,#Peptides,#Unique,#Spec etnp-ja04-20170410,PTM,Avg. Mass,Description
6,134117,ETNP14_68,278.60,66,66,,120,0,181,Carbamidomethylation; Oxidation (M); Dihydroxy; Dethiomethyl; Deamidation (NQ); 8 more,39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,134087,NP_125,277.23,68,68,,129,0,192,Carbamidomethylation; Oxidation (M); Dihydroxy; Dethiomethyl; Deamidation (NQ); 7 more,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,134086,NP_85,277.23,68,68,,129,0,192,Carbamidomethylation; Oxidation (M); Dihydroxy; Dethiomethyl; Deamidation (NQ); 7 more,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,134093,ETNP14_68,277.16,67,67,,130,0,193,Carbamidomethylation; Oxidation (M); Dihydroxy; Dethiomethyl; Deamidation (NQ); 8 more,39674,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,134068,ETNP14_120,276.88,62,62,,116,0,175,Carbamidomethylation; Oxidation (M); Dihydroxy; Dethiomethyl; Deamidation (NQ); 7 more,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,134069,ETNP14_68,276.88,62,62,,116,0,175,Carbamidomethylation; Oxidation (M); Dihydroxy; Dethiomethyl; Deamidation (NQ); 7 more,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,134204,SAR11,275.16,67,67,1.08E5,124,1,184,Carbamidomethylation; Oxidation (M); Dihydroxy; Dethiomethyl; Carbamylation; 8 more,39865,Monocarboxylate 2-oxoacid-binding periplasmic protein
3,134217,NP_85,274.45,71,71,2.52E5,124,1,181,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 4 more,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,134218,NP_300,274.45,71,71,2.52E5,124,1,181,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 4 more,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,134392,NP_125,270.60,62,62,,95,0,146,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 4 more,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,134394,NP_85,270.60,62,62,,95,0,146,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 4 more,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
17,152233,ETNP_110,269.36,70,70,,92,0,143,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 4 more,32534,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
16,152244,ETNP_100,269.18,61,61,8.57E3,94,1,145,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Acetylation (N-term); 5 more,39291,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,152223,ETNP_120,268.53,52,52,,99,0,153,Carbamidomethylation; Oxidation (M); Dihydroxy; Dethiomethyl; Deamidation (NQ); 7 more,39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
9,152226,ETNP_100,267.19,66,66,1.74E5,104,1,157,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 5 more,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
20,134393,ETNP14_120,266.20,63,63,0E0,88,1,137,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 4 more,39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,152224,ETNP_150,263.72,69,69,,108,0,165,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 4 more,29194,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,134391,NP_300,262.72,69,69,,99,0,148,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 4 more,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,134216,NP_100,262.58,70,70,,107,0,163,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 3 more,31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,152232,ETNP_140,261.88,58,58,2.35E4,93,1,147,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 5 more,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,152222,ETNP_120,260.73,77,77,,93,0,145,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 3 more,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
19,101767,54036848,260.36,12,12,7.1E8,19,13,109,Carbamylation; Dehydration; Deamidation (NQ); Sodium adduct; Acetylation (N-term); 11 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
23,152243,ETNP_100,259.60,51,51,,73,0,122,Oxidation (M); Dihydroxy; Dethiomethyl; Dehydration; Deamidation (NQ); 7 more,24182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
22,134239,NP_300,258.15,54,54,,84,0,136,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 4 more,39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
21,134362,NP_85,257.64,49,49,,84,0,136,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 4 more,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
24,152249,ETNP_300,256.59,48,48,0E0,75,1,123,Oxidation (M); Dehydration; Deamidation (NQ); Sodium adduct; Formylation; 4 more,32718,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,152238,ETNP_180,253.51,65,65,1.68E5,94,1,144,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 4 more,39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
18,152252,ETNP_120,251.66,62,62,,88,0,138,Carbamidomethylation; Oxidation (M); Dethiomethyl; Deamidation (NQ); Sodium adduct; 5 more,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
26,152254,ETNP_160,238.61,56,56,,59,0,100,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 3 more,28182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
25,134411,ETNP14_120,237.55,65,65,,59,0,99,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 5 more,21172,Alpha-keto acid-binding periplasmic protein TakP precursor
28,101734,|#CONTAM#TRYP_PIG|,235.03,48,48,1.04E9,20,20,71,Carbamidomethylation; Oxidation (M); Dehydration; Deamidation (NQ); Dimethylation(KR); 6 more,24409,sp|#CONTAM#TRYP_PIG|
27,134184,ETNP14_68,232.37,52,52,,48,0,86,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Formylation; 4 more,21083,Alpha-keto acid-binding periplasmic protein TakP precursor
50,134219,NP_300,220.04,29,29,2.5E7,10,7,20,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
50,134220,ETNP_120,220.04,29,29,2.5E7,10,7,20,Carbamidomethylation; Oxidation (M),39375,Bacterial extracellular solute-binding protein
50,134221,ETNP_120,220.04,29,29,2.5E7,10,7,20,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
50,134222,ETNP_140,220.04,29,29,2.5E7,10,7,20,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
33,134160,NP_300,201.32,58,58,8.08E6,19,9,31,Carbamidomethylation; Deamidation (NQ); Hexose (NSY); Pyro-glu from Q; Fluorination,36427,General L-amino acid-binding periplasmic protein AapJ precursor
33,134161,ETNP14_120,201.32,58,58,8.08E6,19,9,31,Carbamidomethylation; Deamidation (NQ); Hexose (NSY); Pyro-glu from Q; Fluorination,36427,General L-amino acid-binding periplasmic protein AapJ precursor
33,134162,ETNP_120,201.32,58,58,8.08E6,19,9,31,Carbamidomethylation; Deamidation (NQ); Hexose (NSY); Pyro-glu from Q; Fluorination,36427,General L-amino acid-binding periplasmic protein AapJ precursor
33,134163,ETNP_160,201.32,58,58,8.08E6,19,9,31,Carbamidomethylation; Deamidation (NQ); Hexose (NSY); Pyro-glu from Q; Fluorination,36427,General L-amino acid-binding periplasmic protein AapJ precursor
33,134164,ETNP_140,201.32,58,58,8.08E6,19,9,31,Carbamidomethylation; Deamidation (NQ); Hexose (NSY); Pyro-glu from Q; Fluorination,36427,General L-amino acid-binding periplasmic protein AapJ precursor
51,167555,|#CONTAM#HBB_HUMAN|,200.99,84,84,4.04E7,11,11,20,Carbamidomethylation,15867,sp|#CONTAM#HBB_HUMAN|
43,24970,WP_018047900,199.57,16,16,4.23E6,32,7,36,Oxidation (M); Dehydration; Pyro-glu from Q; Oxidation (HW); Mutation,133487,hypothetical protein Nitrospina sp AB-629-B18
40,167556,ETNP_110,180.90,79,79,6.6E6,27,15,32,Deamidation (NQ); Iminobiotinylation,16208,Phasin protein
40,167558,SAR11,180.90,60,60,6.6E6,27,15,32,Deamidation (NQ); Iminobiotinylation,22375,hypothetical protein
40,167559,ETNP_120,180.90,60,60,6.6E6,27,15,32,Deamidation (NQ); Iminobiotinylation,22375,Phasin protein
40,167557,NP_300,180.90,60,60,6.6E6,27,15,32,Deamidation (NQ); Iminobiotinylation,22261,Phasin protein
69,134600,NP_300,176.44,28,28,7.79E6,8,5,17,Carbamidomethylation; Phosphorylation (STY); Deamidation (NQ),39249,Bacterial extracellular solute-binding protein
49,103157,ETNP_120,174.69,41,41,2.27E6,15,3,23,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Ammonia-loss (N),32779,General L-amino acid-binding periplasmic protein AapJ precursor
49,103162,ETNP_140,174.69,37,37,2.27E6,15,3,23,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Ammonia-loss (N),36148,General L-amino acid-binding periplasmic protein AapJ precursor
49,103159,ETNP_160,174.69,37,37,2.27E6,15,3,23,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Ammonia-loss (N),36148,General L-amino acid-binding periplasmic protein AapJ precursor
49,103163,NP_300,174.69,37,37,2.27E6,15,3,23,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Ammonia-loss (N),36148,General L-amino acid-binding periplasmic protein AapJ precursor
49,103160,ETNP_300,174.69,37,37,2.27E6,15,3,23,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Ammonia-loss (N),36148,General L-amino acid-binding periplasmic protein AapJ precursor
49,103164,ETNP_180,174.69,37,37,2.27E6,15,3,23,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Ammonia-loss (N),36148,General L-amino acid-binding periplasmic protein AapJ precursor
49,103161,ETNP_120,174.69,37,37,2.27E6,15,3,23,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Ammonia-loss (N),36148,General L-amino acid-binding periplasmic protein AapJ precursor
37,152245,ETNP_120,172.14,29,29,1.9E7,34,10,38,Acetylation (K); Formylation; Deoxy; Mutation,63774,Multicopper oxidase
60,152229,NP_100,167.98,32,32,9.22E6,16,16,19,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Acetylation (N-term); Mutation,50268,Aliphatic amidase expression-regulating protein
60,152230,NP_125,167.98,32,32,9.22E6,16,16,19,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Acetylation (N-term); Mutation,50268,Aliphatic amidase expression-regulating protein
60,152228,ETNP_110,167.98,34,34,9.22E6,16,16,19,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Acetylation (N-term); Mutation,47623,Aliphatic amidase expression-regulating protein
65,134115,ETNP14_120,167.72,58,58,,16,0,19,Oxidation (M); Dethiomethyl; Phosphorylation (STY),21707,Selenate reductase subunit gamma precursor
68,134380,ETNP_160,166.99,72,72,2.97E4,16,1,18,Oxidation (M); Dethiomethyl; Phosphorylation (STY),18459,Selenate reductase subunit gamma precursor
62,134153,NP_300,166.47,27,27,3.76E7,11,9,17,Carbamidomethylation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
62,134154,ETNP_120,168.12,27,27,3.86E7,12,10,18,Carbamidomethylation; Mutation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
62,134156,ETNP_110,168.12,27,27,3.86E7,12,10,18,Carbamidomethylation; Mutation,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
32,102144,SAR11,163.72,46,46,,23,0,34,Carbamidomethylation; Deamidation (NQ),38623,Putative amino-acid ABC transporter-binding protein YhdW
32,102142,SAR11,163.72,47,47,,23,0,34,Carbamidomethylation; Deamidation (NQ),38010,Putative amino-acid ABC transporter-binding protein YhdW
32,102143,SAR11,163.72,46,46,,23,0,34,Carbamidomethylation; Deamidation (NQ),38368,Putative amino-acid ABC transporter-binding protein YhdW
53,25033,WP_018047897,162.16,25,25,3.23E6,17,7,22,Oxidation (M),36029,hypothetical protein Nitrospina sp AB-629-B18
74,103158,ETNP_120,161.67,37,37,1.06E4,14,1,18,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q,32337,General L-amino acid-binding periplasmic protein AapJ precursor
74,103166,ETNP_160,161.67,32,32,1.06E4,14,1,18,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q,36178,General L-amino acid-binding periplasmic protein AapJ precursor
74,103167,NP_300,161.67,32,32,1.06E4,14,1,18,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q,36188,General L-amino acid-binding periplasmic protein AapJ precursor
74,103168,ETNP_120,161.67,32,32,1.06E4,14,1,18,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q,36178,General L-amino acid-binding periplasmic protein AapJ precursor
74,103169,ETNP_140,161.67,32,32,1.06E4,14,1,18,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q,36178,General L-amino acid-binding periplasmic protein AapJ precursor
74,103165,ETNP_300,161.67,32,32,1.06E4,14,1,18,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q,36178,General L-amino acid-binding periplasmic protein AapJ precursor
