Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 11: 278 4-19_265m_top+P-A,Area Sample 11: 278 4-19_265m_top+P-A,#Peptides,#Unique,#Spec Sample 11: 278 4-19_265m_top+P-A,PTM,Avg. Mass,Description
1,1,54036848,204.80,9,9,5.75E8,11,11,17,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
6,2,CAA76847.1,148.83,14,14,6.83E6,6,6,11,Carbamidomethylation,69324,bovine serum albumin [Bos taurus]
3,8265,ETNP_70,138.34,12,12,5.04E7,11,5,12,,41848,Bacterial actin-related protein
25,143935,WP_011217131.1,129.60,22,22,7.66E6,4,4,4,,12193,50S ribosomal protein L22 [Photobacterium profundum]
8,25155,CAI86879.1,126.07,28,28,9.71E6,6,6,7,,8758,acyl carrier protein [Pseudoalteromonas haloplanktis TAC125]
8,25167,ETNP_90,126.07,28,28,9.71E6,6,6,7,,8803,Acyl carrier protein
8,25168,ETNP14_120,126.07,28,28,9.71E6,6,6,7,,8803,Acyl carrier protein
8,25169,WP_012518211,126.07,28,28,9.71E6,6,6,7,,8803,acyl carrier protein Alteromonadaceae
8,26696,ETNP_120,126.07,28,28,9.71E6,6,6,7,,8807,Acyl carrier protein
7,143843,WP_041393911.1,109.94,41,41,1.84E7,8,8,8,Carbamidomethylation,22084,peroxidase [Photobacterium profundum]
9,24029,XP_003074685,103.47,17,17,1.5E7,6,5,7,Oxidation (M),31136,Histone H4 ISS  Ostreococcus tauri
5,17455,WP_011219964.1,100.83,14,14,5.12E6,11,5,11,Carbamidomethylation,43220,elongation factor Tu [Photobacterium profundum]
39,143833,ETNP_100,98.33,18,18,3.14E5,3,1,3,,19981,60 kDa chaperonin
39,143834,ETNP_120,98.33,10,10,3.14E5,3,1,3,,37244,60 kDa chaperonin
39,143835,ETNP_120,98.33,6,6,3.14E5,3,1,3,,57121,60 kDa chaperonin
39,143836,WP_013262876,98.33,6,6,3.14E5,3,1,3,,57692,molecular chaperone GroEL gamma proteobacterium HdN1
10,24420,BAI71203.1,96.20,8,8,2.05E6,7,1,7,Carbamidomethylation,43025,elongation factor EF-Tu [Azospirillum sp. B510]
11,143832,WP_011220004.1,93.77,9,9,1.16E7,3,3,6,,51773,glutamine synthetase [Photobacterium profundum]
12,8306,ETNP_90,92.45,29,29,5.02E6,5,5,6,Oxidation (M),18514,EF hand
12,8303,XP_002185049,92.45,32,32,5.02E6,5,5,6,Oxidation (M),16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
12,8304,EJK77863,92.45,32,32,5.02E6,5,5,6,Oxidation (M),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
12,8305,EJK58168,92.45,32,32,5.02E6,5,5,6,Oxidation (M),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
60,13614,CAG23421.1,92.34,11,11,2.51E6,2,2,2,,30633,Putative ribose ABC transporter  periplasmic D-ribose-binding protein [Photobacterium profundum SS9]
4,469,ETNP_70,90.10,39,39,4.43E7,10,10,11,,13534,Core histone H2A/H2B/H3/H4
2,4,XP_003061104,87.17,20,20,7.2E6,12,2,12,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
20,17714,XP_003062035,82.88,30,30,9.69E5,5,2,5,,12701,predicted protein  Micromonas pusilla CCMP1545
20,17715,XP_003058519,82.88,30,30,9.69E5,5,2,5,,12701,predicted protein  Micromonas pusilla CCMP1545
