Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) ETNP_NT06,Area ETNP_NT06,#Peptides,#Unique,#Spec ETNP_NT06,PTM,Avg. Mass,Description
1,58,gi|54036848,272.42,11,11,5.45E8,21,18,82,Methylation(KR); Carboxylation (E); Sodium adduct; Deamidation (NQ); Dehydration; 10 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,6,70m_MEGAHIT_CJDMCFAD_72421,200.77,30,30,2.24E8,64,43,86,Carbamidomethylation; Oxidation (M); Acetylation (K); Methylation(KR); Carbamylation; 3 more,43386,Bacterial actin-related protein
4,16,ETNP_70m_PROKKA_142252,179.90,20,20,1.55E7,28,14,36,Carbamidomethylation; Oxidation (M); Sodium adduct; Dehydration; Deoxy; Mutation,41848,Bacterial actin-related protein
4,17,70m_MEGAHIT_CJDMCFAD_63857,179.90,18,18,1.55E7,28,14,36,Carbamidomethylation; Oxidation (M); Sodium adduct; Dehydration; Deoxy; Mutation,46890,Bacterial actin-related protein
5,1669,120m_megahit_CMKFGOPF_180104,111.64,3,3,7.55E5,5,1,23,Formylation; Sodium adduct; Deamidation (NQ); Dehydration; Replacement of 2 protons by calcium; Ethyl amino,119972,ATP-dependent Clp protease ATP-binding subunit ClpC1
5,1837,ETNP_100m_particle_PROKKA_69392,111.64,4,4,7.55E5,5,1,23,Formylation; Sodium adduct; Deamidation (NQ); Dehydration; Replacement of 2 protons by calcium; Ethyl amino,99200,ATP-dependent Clp protease ATP-binding subunit ClpC1
6,1895,160m_megahit_NHJEOBNC_65652,111.36,4,4,1.38E4,5,1,22,Sodium adduct; Deamidation (NQ); Dehydration; Replacement of 2 protons by calcium; Sulfation; Ethyl amino,92774,ATP-dependent Clp protease ATP-binding subunit ClpC1
6,2295,ETNP_90m_PROKKA_167808,114.40,6,6,4.61E5,6,2,24,Sodium adduct; Deamidation (NQ); Dehydration; Replacement of 2 protons by calcium; Sulfation; Ethyl amino,71672,ATP-dependent Clp protease ATP-binding subunit ClpC1
6,1873,ETNP14_120maa_PROKKA_01589,114.40,5,5,4.61E5,6,2,24,Sodium adduct; Deamidation (NQ); Dehydration; Replacement of 2 protons by calcium; Sulfation; Ethyl amino,92971,ATP-dependent Clp protease ATP-binding subunit ClpC1
9,2569,140m_megahit_KKMFCJLI_62044,108.95,3,3,8.76E4,5,1,15,Formylation; Sodium adduct; Deamidation (NQ); Replacement of 2 protons by calcium; Propionamide (K  X@N-term); Ethyl amino,95166,Chaperone protein ClpB_160m_megahit_NHJEOBNC_94797 Chaperone protein ClpB_300m_megahit_KALMNAMF_55613 Chaperone protein ClpB
7,1607,ETNP_120m_particle_PROKKA_206122,108.62,4,4,8.81E5,5,2,16,Methylation(KR); Sodium adduct; Deamidation (NQ); Dehydration; Replacement of 2 protons by calcium; Ethyl amino,93586,Negative regulator of genetic competence ClpC/MecB
8,2333,ETNP14_68maa_PROKKA_15942,107.40,3,3,5.03E5,4,1,15,Phosphorylation (STY); Sodium adduct; Deamidation (NQ); Replacement of 2 protons by calcium; Ethyl amino,76744,ATP-dependent Clp protease ATP-binding subunit ClpC
20,291,100mP_megahit_BKKBEGJO_62241,106.41,38,38,1.66E6,9,3,10,Acetylation (N-term),9588,hypothetical protein_ETNP_100m_particle_PROKKA_55047 hypothetical protein
16,82,100mP_megahit_BKKBEGJO_23068,105.22,26,26,5.34E6,10,4,11,,13793,hypothetical protein
16,83,70m_MEGAHIT_CJDMCFAD_68937,105.22,26,26,5.34E6,10,4,11,,13858,hypothetical protein
