Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,1128,ETNP14_68maa_PROKKA_78515,194.14,51,25,0,,39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,1891,NP_125m_PROKKA_02672,193.25,43,22,0,,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,1890,NP_85m_PROKKA_10653,193.25,43,22,0,,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,118935,ETNP_100m_PROKKA_52129,193.25,43,22,0,,39291,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
9,1934,ETNP14_120maa_PROKKA_147628,192.75,45,21,0,,39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,1171,ETNP14_120maa_PROKKA_54071,192.39,47,25,0,,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,1170,ETNP14_68maa_PROKKA_58668,192.39,47,25,0,,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,900,NP_300m_PROKKA_20959,187.93,51,26,0,,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,1140,NP_85m_PROKKA_05533,185.68,33,20,0,,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,107171,ETNP_120m_PROKKA_78196,185.59,38,21,0,,39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,107165,ETNP_100m_particle_PROKKA_120937,185.25,52,25,1,,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,107172,ETNP_120m_PROKKA_51847,180.70,59,21,1,,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,791,ETNP_180m_PROKKA_32538,180.12,43,23,1,,39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,1172,NP_85m_PROKKA_09702,176.91,51,25,1,,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,1176,NP_125m_PROKKA_07506,176.91,51,25,1,,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,1175,ETNP14_68maa_PROKKA_144097,176.91,51,25,1,,39674,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,889,ETNP_140m_PROKKA_69877,176.03,40,18,0,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,1173,NP_85m_PROKKA_14278,175.02,49,26,2,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,1174,NP_300m_PROKKA_22657,175.02,49,26,2,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,1197,ETNP_120m_free_PROKKA_239923,170.98,33,18,0,,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
17,2479,ETNP_300m_PROKKA_116083,169.08,29,13,0,,32718,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
