Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja01-20170410,Area etnp-ja01-20170410,#Peptides,#Unique,#Spec etnp-ja01-20170410,PTM,Avg. Mass,Description
3,1,WP_042850982,248.6,63,63,2.87E+07,92,17,138,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Mutation,57654,molecular chaperone GroEL Prochlorococcus sp MIT 0604
4,2,WP_038654071,242.46,68,68,8.30E+06,92,7,134,Carbamidomethylation; Oxidation (M); Sodium adduct; Mutation,57282,molecular chaperone GroEL Prochlorococcus sp MIT 0801
5,3,ETNP14_68maa_PROKKA_102614,239.33,56,56,,82,0,124,Carbamidomethylation; Oxidation (M); Sodium adduct; Mutation,57434,60 kDa chaperonin 1
6,4,WP_038546435,239.12,59,59,0.00E+00,81,1,123,Carbamidomethylation; Oxidation (M); Sodium adduct; Formylation; Mutation,57099,molecular chaperone GroEL Synechococcus sp KORDI-100
8,7,WP_011130817,235.95,52,52,,75,0,115,Carbamidomethylation; Oxidation (M); Sodium adduct; Formylation; Mutation,57397,molecular chaperone GroEL Prochlorococcus marinus
8,6,WP_036912335,235.95,52,52,,75,0,115,Carbamidomethylation; Oxidation (M); Sodium adduct; Formylation; Mutation,57393,molecular chaperone GroEL Prochlorococcus
7,52,WP_011128866,232.73,67,67,2.98E+08,31,16,114,Carbamidomethylation; Oxidation (M); Dethiomethyl; Sodium adduct; Dehydration; 8 more,18085,C-phycoerythrin class 2 subunit beta Synechococcus
9,8,ETNP_90m_PROKKA_150918,229.94,49,49,,70,0,104,Oxidation (M); Sodium adduct; Mutation,57387,60 kDa chaperonin 1
9,9,ETNP_120m_PROKKA_272804,229.94,49,49,,70,0,104,Oxidation (M); Sodium adduct; Mutation,57387,60 kDa chaperonin 1
12,22,NP_30m_PROKKA_11010,228.03,85,85,3.32E+07,35,10,83,Carbamidomethylation; Oxidation (M); Dethiomethyl; Sodium adduct; Methylation(others); 10 more,18847,Flavodoxin
12,23,WP_042850707,227.46,83,83,3.32E+07,34,9,82,Carbamidomethylation; Oxidation (M); Dethiomethyl; Sodium adduct; Methylation(others); 10 more,18877,flavodoxin Prochlorococcus sp MIT 0604
2,64,gi|54036848,221.23,15,15,1.13E+09,21,18,136,Deamidation (NQ); Sodium adduct; Dehydration; Acetylation (N-term); Pyro-glu from Q; 9 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
10,12,ETNP14_68maa_PROKKA_81355,219.48,50,50,,66,0,103,Carbamidomethylation; Oxidation (M); Sodium adduct; Mutation,57311,60 kDa chaperonin 1
16,158,WP_011128867,214.99,62,62,2.31E+08,32,27,62,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Ethylation; 3 more,17729,C-phycoerythrin class 2 subunit alpha Synechococcus
13,14,NP_30m_PROKKA_05551,207.79,60,60,9.24E+07,36,36,61,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Ubiquitin; 2 more,29771,Photosystem II manganese-stabilizing polypeptide precursor
13,15,WP_042849726,207.79,63,63,9.24E+07,36,36,61,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Ubiquitin; 2 more,28075,photosystem II manganese-stabilizing polypeptide Prochlorococcus sp MIT 0604
11,13,WP_006171951,207.54,43,43,8.33E+05,54,1,82,Oxidation (M); Sodium adduct,57476,molecular chaperone GroEL Synechococcus sp WH 5701
