Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 13: 281 4-19_965m_ctl1of2-A,Area Sample 13: 281 4-19_965m_ctl1of2-A,#Peptides,#Unique,#Spec Sample 13: 281 4-19_965m_ctl1of2-A,PTM,Avg. Mass,Description
1,1,54036848,201.49,11,11,5.73E8,16,12,44,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,2,CAA76847.1,121.10,14,14,3.77E6,7,7,10,Carbamidomethylation,69324,bovine serum albumin [Bos taurus]
4,29,CAN98337.1,86.80,3,3,5.31E6,5,1,10,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
3,2621,NP_300,86.11,3,3,1E4,5,1,10,Oxidation (M),96223,Chaperone protein ClpB
5,126071,KKW03689,85.81,4,4,0E0,5,1,10,,77054,ATPase AAA-2 domain protein Candidatus Saccharibacteria bacterium GW2011_GWC2_48_9
13,38,XP_002183424,32.90,5,5,1.32E5,2,2,2,,41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
13,39,XP_002183295,32.90,5,5,1.32E5,2,2,2,,41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
13,4,XP_003061104,32.90,5,5,1.32E5,2,2,2,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
13,40,XP_002182221,32.90,5,5,1.32E5,2,2,2,,41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
13,8267,EJK63020,32.90,3,3,1.32E5,2,2,2,,68429,hypothetical protein THAOC_16346  Thalassiosira oceanica
8,8391,ETNP_120,31.33,20,20,2.95E7,1,1,3,,5568,hypothetical protein
8,8392,ETNP_180,31.33,20,20,2.95E7,1,1,3,,5568,hypothetical protein
24,51,WP_015349883,31.24,0,0,2.48E6,1,1,1,,202176,polyketide synthase Myxococcus stipitatus
24,42,CBE69591,31.24,2,2,2.48E6,1,1,1,,58424,Indole-3-pyruvate decarboxylase Indolepyruvate decarboxylase Candidatus Methylomirabilis oxyfera
45,17799,ETNP_300,30.02,2,2,2.06E5,1,1,1,,40593,putative acetyl-CoA acyltransferase
11,126073,ACL73050.1,28.17,1,1,3.57E5,1,1,2,,60154,flagellar FliF M-ring protein [Thioalkalivibrio sulfidiphilus HL-EbGr7]
46,126072,WP_012909810,27.99,2,2,1.22E5,1,1,1,,75456,preprotein translocase subunit SecA Pirellula staleyi
6,126074,ETNP_300,27.60,8,8,4.62E8,1,1,5,,10663,hypothetical protein
47,126075,ABI76493.1,26.86,13,13,4.06E5,1,1,1,,15114,putative NADH:ubiquinone oxidoreductase [Hyphomonas neptunium ATCC 15444]
12,126076,ETNP_180,26.48,9,9,1.84E6,1,1,2,Carbamidomethylation,23208,(S)-sulfolactate dehydrogenase
9,140,CAN91477.1,26.10,2,2,2.19E8,1,1,3,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
48,126077,ETNP_70,25.26,4,4,2.09E4,1,1,1,,24974,hypothetical protein
48,126078,XP_003078474,25.26,3,3,2.09E4,1,1,1,,31219,auxilin-like protein ISS partial  Ostreococcus tauri
49,126264,ETNP14_68,24.40,5,5,3.26E5,1,1,1,,27487,N-acetylmuramoyl-L-alanine amidase AmiA precursor
10,126265,ETNP_90,24.15,9,9,2.77E6,1,1,2,,15539,hypothetical protein
10,126266,ETNP_120,24.15,5,5,2.77E6,1,1,2,,27235,hypothetical protein
10,126267,ETNP_100,24.15,4,4,2.77E6,1,1,2,,31501,hypothetical protein
10,126268,ETNP_180,24.15,4,4,2.77E6,1,1,2,,31515,hypothetical protein
10,126269,ETNP_120,24.15,4,4,2.77E6,1,1,2,,31515,hypothetical protein
10,126270,ETNP14_120,24.15,4,4,2.77E6,1,1,2,,31629,hypothetical protein
10,126271,ETNP_100,24.15,4,4,2.77E6,1,1,2,,31645,hypothetical protein
10,126272,ETNP_160,24.15,4,4,2.77E6,1,1,2,,31652,hypothetical protein
10,126273,ETNP_300,24.15,4,4,2.77E6,1,1,2,,31643,hypothetical protein
14,126277,WP_014436452,23.72,10,10,7.34E5,1,1,2,,17078,hypothetical protein Phycisphaera mikurensis
52,126282,ETNP_90,23.34,2,2,3.99E4,1,1,1,,32745,Phosphoribosylaminoimidazole-succinocarboxamide synthase
26,126105,EJK75951,23.13,0,0,6.06E5,1,1,1,,261467,hypothetical protein THAOC_02314  Thalassiosira oceanica
51,17733,ETNP14_68,22.99,12,12,1.65E5,1,1,1,,8665,Ubiquitin family protein
51,17607,ETNP14_120,22.99,12,12,1.65E5,1,1,1,,8704,Ubiquitin family protein
51,17742,XP_002182250,22.99,7,7,1.65E5,1,1,1,,14454,ubiquitin extension protein 1 2  Phaeodactylum tricornutum CCAP 1055
51,17743,ETNP14_120,22.99,6,6,1.65E5,1,1,1,,16575,Ubiquitin family protein
51,17747,EJK55830,22.99,5,5,1.65E5,1,1,1,,20633,hypothetical protein THAOC_24391  Thalassiosira oceanica
51,17748,XP_002183736,22.99,4,4,1.65E5,1,1,1,,22982,predicted protein  Phaeodactylum tricornutum CCAP 1055
51,17749,EJK68681,22.99,4,4,1.65E5,1,1,1,,23088,hypothetical protein THAOC_10112  Thalassiosira oceanica
51,17750,EJK62831,22.99,4,4,1.65E5,1,1,1,,26844,hypothetical protein THAOC_16543  Thalassiosira oceanica
56,2070,ETNP14_120,22.82,3,3,1.48E5,1,1,1,,22908,D-inositol-3-phosphate glycosyltransferase
53,126285,ETNP14_68,22.13,11,11,2.7E6,1,1,1,,7443,hypothetical protein
54,126288,ETNP_160,21.47,4,4,1.1E4,1,1,1,,27668,hypothetical protein
55,126290,ETNP_70,20.87,7,7,5.94E4,1,1,1,,11659,hypothetical protein
55,126291,ETNP_120,20.87,4,4,5.94E4,1,1,1,,19725,hypothetical protein
57,126292,ETNP14_68,20.41,2,2,2.19E8,1,1,1,,34489,Inner membrane protein YrbG
57,126293,ETNP14_120,20.41,2,2,2.19E8,1,1,1,,34489,Inner membrane protein YrbG
57,126294,ETNP14_120,20.41,2,2,2.19E8,1,1,1,,35597,Inner membrane protein YrbG
