Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,212045,Q7TU44|CH602_PROMP,368.08,94,202,201,Carbamidomethylation; Amidation; Deamidation (NQ); Formylation; Dehydration; Oxidation (M),57441,60 kDa chaperonin 2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=groL2 PE=3 SV=1
3,214456,Q7V2M3|CH601_PROMP,305.97,69,70,69,Carbamidomethylation; Amidation; Deamidation (NQ); Formylation; Dehydration; Oxidation (M),61441,60 kDa chaperonin 1 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=groL1 PE=3 SV=1
5,212188,tr|Q7V360|Q7V360_PROMP,279.16,84,51,51,Carbamidomethylation; Amidation; Deamidation (NQ); Formylation; Dehydration; Oxidation (M),28114,Photosystem II manganese-stabilizing protein OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=psbO PE=4 SV=1
4,214458,Q7UZG3|DNAK2_PROMP,275.55,63,48,48,Carbamidomethylation; Deamidation (NQ); Formylation; Dehydration; Oxidation (M),68244,Chaperone protein dnaK2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=dnaK2 PE=3 SV=1
15,212027,Q7V006|RPOB_PROMP,271.33,57,55,54,Carbamidomethylation; Amidation; Deamidation (NQ); Dehydration; Oxidation (M),122908,DNA-directed RNA polymerase subunit beta OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=rpoB PE=3 SV=1
19,214465,tr|Q7V1Y5|Q7V1Y5_PROMP,262.84,67,55,55,Deamidation (NQ); Formylation; Dehydration; Oxidation (M),33887,Phosphate-binding protein OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=PMM0710 PE=3 SV=1
6,212416,tr|Q7V1H1|Q7V1H1_PROMP,262.13,73,58,56,Carbamidomethylation; Amidation; Deamidation (NQ); Formylation; Dehydration; Oxidation (M),72552,Heat shock protein HtpG OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=htpG PE=4 SV=1
7,214457,tr|Q7TUC3|Q7TUC3_PROMP,257.73,91,41,41,Carbamidomethylation; Amidation; Deamidation (NQ); Formylation; Dehydration; Oxidation (M),48059,Putative O-Acetyl homoserine sulfhydrylase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=cysD PE=3 SV=1
14,212073,Q7V008|RPOC2_PROMP,256.74,54,55,55,Carbamidomethylation; Deamidation (NQ); Dehydration; Oxidation (M),149637,DNA-directed RNA polymerase subunit beta' OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=rpoC2 PE=3 SV=1
8,214460,tr|Q7V2R2|Q7V2R2_PROMP,246.00,79,27,27,Carbamidomethylation; Deamidation (NQ); Formylation; Dehydration; Oxidation (M),34981,Cysteine synthase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) GN=cysK1 PE=3 SV=1
