Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 370,Area 370,#Peptides,#Unique,#Spec 370,PTM,Avg. Mass,Description
1,2,54036848,218.58,9,9,1.65E8,14,10,35,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,1,|#CONTAM#TRYP_PIG|,162.88,47,47,5.9E8,14,14,20,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
3,166,|#CONTAM#K2C1_HUMAN|,101.07,18,18,3.99E6,7,7,8,Carbamidomethylation,65886,sp|#CONTAM#K2C1_HUMAN|
5,86317,ETNP_180,98.38,2,2,,5,0,7,,96775,Chaperone protein ClpB
5,86318,ETNP_160,98.38,2,2,,5,0,7,,96775,Chaperone protein ClpB
4,983,ACL71908.1,98.31,3,3,7.55E4,5,1,7,,95840,ATP-dependent chaperone ClpB [Thioalkalivibrio sulfidiphilus HL-EbGr7]
4,843,WP_014707596,98.31,3,3,7.55E4,5,1,7,,95984,chaperone protein ClpB Methylophaga nitratireducenticrescens
4,1059,ETNP_300,98.31,7,7,7.55E4,5,1,7,,40000,Chaperone protein ClpB
4,1067,WP_009773391.1,98.31,3,3,7.55E4,5,1,7,,79198,protein disaggregation chaperone [marine actinobacterium PHSC20C1]
4,1068,WP_013260433,98.31,3,3,7.55E4,5,1,7,,96155,chaperone protein ClpB gamma proteobacterium HdN1
4,990,ETNP_100,98.31,3,3,7.55E4,5,1,7,,95265,Chaperone protein ClpB
4,998,WP_001210050,98.31,3,3,7.55E4,5,1,7,,95142,chaperone protein ClpB Acinetobacter baumannii
4,991,ETNP_120,98.31,3,3,7.55E4,5,1,7,,95265,Chaperone protein ClpB
4,999,ADI91587.1,98.31,3,3,7.55E4,5,1,7,,95233,ATP-dependent chaperone ClpB [Acinetobacter oleivorans DR1]
4,948,WP_011376136.1,98.31,3,3,7.55E4,5,1,7,,97126,chaperone protein ClpB [Prochlorococcus marinus]
4,957,WP_011132214.1,98.31,3,3,7.55E4,5,1,7,,97364,chaperone protein ClpB [Prochlorococcus marinus]
4,1049,CBE68133,98.31,3,3,7.55E4,5,1,7,,97122,Chaperone Candidatus Methylomirabilis oxyfera
4,926,ETNP_120,98.31,3,3,7.55E4,5,1,7,,96281,Chaperone protein ClpB
4,924,NP_300,98.31,3,3,7.55E4,5,1,7,,96223,Chaperone protein ClpB
4,940,BAI70784.1,98.31,3,3,7.55E4,5,1,7,,95100,ATP-dependent Clp protease ATP-binding subunit [Azospirillum sp. B510]
4,936,ACJ00008.1,98.31,3,3,7.55E4,5,1,7,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
9,132,|#CONTAM#K1C9_HUMAN|,95.28,13,13,4.33E6,5,5,5,Oxidation (M),62129,sp|#CONTAM#K1C9_HUMAN|
6,1543,WP_011132721.1,94.76,3,3,7.82E4,5,1,7,,93427,ATP-dependent Clp protease ATP-binding subunit ClpC [Prochlorococcus marinus]
6,1545,WP_011376649.1,94.76,3,3,7.82E4,5,1,7,,93573,ATP-dependent Clp protease ATP-binding subunit ClpC [Prochlorococcus marinus]
6,1454,CAK23961.1,94.76,3,3,7.82E4,5,1,7,,92891,ATP-dependent Clp protease ATP-binding subunit clpA homolog [Synechococcus sp. WH 7803]
6,1441,WP_011824074.1,94.76,3,3,7.82E4,5,1,7,,94922,ATP-dependent Clp protease ATP-binding subunit ClpC [Prochlorococcus marinus]
10,18,NP_300,93.25,14,14,9.31E5,4,4,4,Carbamidomethylation,35973,Leucine-specific-binding protein precursor
