peptide,lca,superkingdom,kingdom,subkingdom,superphylum,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species group,species subgroup,species,subspecies,varietas,forma
AAHFNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALQEMPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWVQGK,Dethiosulfovibrio salsuginis,Bacteria,,,,Synergistetes,,,Synergistia,,,,Synergistales,,,,,Synergistaceae,,,,Dethiosulfovibrio,,,,Dethiosulfovibrio salsuginis,,,
DFLNNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSWLAQR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEMPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPVTMPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQEQLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDKPSR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDLSDR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFQLYK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFVCSK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFVSCK,Eukaryota,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGPLLTR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLDDR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDTHK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNDPDGK,Bacillus azotoformans,Bacteria,,,,Firmicutes,,,Bacilli,,,,Bacillales,,,,,Bacillaceae,,,,Bacillus,,,,Bacillus azotoformans,,,
HMWDSK,Mizuhopecten yessoensis,Eukaryota,Metazoa,,,Mollusca,,,Bivalvia,Pteriomorphia,,,Pectinoida,,,,Pectinoidea,Pectinidae,,,,Mizuhopecten,,,,Mizuhopecten yessoensis,,,
LAPLCR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEHSFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLEHFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNDMER,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNQEVR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSSAPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYEETR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLSNR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMAPR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNNPFFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QECRPK,Heterorhabditis bacteriophora,Eukaryota,Metazoa,,,Nematoda,,,Chromadorea,,,,Rhabditida,,,,Rhabditoidea,Heterorhabditidae,,,,Heterorhabditis,,,,Heterorhabditis bacteriophora,,,
QEPNR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNYYFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSTPCLK,Aegilops tauschii,Eukaryota,Viridiplantae,,,Streptophyta,Streptophytina,,Liliopsida,Petrosaviidae,,,Poales,,,,,Poaceae,Pooideae,Triticeae,Triticinae,Aegilops,,,,Aegilops tauschii,,,
STYSK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFFVNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLAHADK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSLMWR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTVHK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTVSPVR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYWLYR,Wuchereria bancrofti,Eukaryota,Metazoa,,,Nematoda,,,Chromadorea,,,,Spirurida,,,,Filarioidea,Onchocercidae,,,,Wuchereria,,,,Wuchereria bancrofti,,,
VDCLSR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLNDTPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLVVDNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPLEGK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSEPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VVDEWVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VVDVCTR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDPEGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLVEDK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAEVQR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDELGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALHLLMR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMMMEAK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMTPPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVQFPR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDVLTGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQGVPER,Streptomyces,Bacteria,,,,Actinobacteria,,,Actinobacteria,,,,Streptomycetales,,,,,Streptomycetaceae,,,,Streptomyces,,,,,,,
DWVLLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECLAK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEDQLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVQDLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFEYNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFLDFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFNYVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFVAHAR,Mycobacterium,Bacteria,,,,Actinobacteria,,,Actinobacteria,,,,Corynebacteriales,,,,,Mycobacteriaceae,,,,Mycobacterium,,,,,,,
FGPLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVFWFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHEDK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVPMPLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSMGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATGMLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDETR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDGLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDLVSGR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQLTER,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSLEPAVR,Bacteria,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAVPLTK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNHHVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVDLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYLDLK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QLEQNK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QLFPR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QLQDVR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QVMLSR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDKPLPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLPEMPK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVNNQAK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYYYVK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEYTFK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLAHMMK,Bacteria,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLDEMK,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSTGNR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTWWPK,Dyadobacter,Bacteria,,,,Bacteroidetes,,,Cytophagia,,,,Cytophagales,,,,,Cytophagaceae,,,,Dyadobacter,,,,,,,
TWYYLR,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,
