Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,39,ETNP_90m_PROKKA_15075,406.03,88,71,59,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation (Protein N-term); 14 more,17736,C-phycoerythrin class 2 subunit alpha
1,38,ETNP_120m_PROKKA_239026,406.03,88,71,59,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation (Protein N-term); 14 more,17736,C-phycoerythrin class 2 subunit alpha
1,37,ETNP_100m_particle_PROKKA_144421,406.03,88,71,59,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation (Protein N-term); 14 more,17736,C-phycoerythrin class 2 subunit alpha
2,155,ETNP_120m_free_PROKKA_182310,320.58,77,58,43,Amidation; Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; 12 more,18407,C-phycoerythrin class 2 subunit beta
2,154,ETNP_120m_PROKKA_239025,320.58,77,58,43,Amidation; Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; 12 more,18407,C-phycoerythrin class 2 subunit beta
2,153,ETNP_90m_PROKKA_15076,320.58,77,58,43,Amidation; Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; 12 more,18407,C-phycoerythrin class 2 subunit beta
9,1284,ETNP_120m_particle_PROKKA_46067,283.48,79,26,6,Deamidation (NQ); Sodium adduct; Replacement of 2 protons by calcium; Replacement of proton with ammonium ion; Mutation,7685,Photosystem I reaction center subunit IV
9,1283,ETNP_100m_PROKKA_85480,283.48,79,26,6,Deamidation (NQ); Sodium adduct; Replacement of 2 protons by calcium; Replacement of proton with ammonium ion; Mutation,7671,Photosystem I reaction center subunit IV
9,1282,ETNP_140m_PROKKA_82407,283.48,79,26,6,Deamidation (NQ); Sodium adduct; Replacement of 2 protons by calcium; Replacement of proton with ammonium ion; Mutation,7685,Photosystem I reaction center subunit IV
9,1281,NP_100m_PROKKA_25090,283.48,79,26,6,Deamidation (NQ); Sodium adduct; Replacement of 2 protons by calcium; Replacement of proton with ammonium ion; Mutation,7685,Photosystem I reaction center subunit IV
9,1280,ETNP_100m_particle_PROKKA_97369,283.48,79,26,6,Deamidation (NQ); Sodium adduct; Replacement of 2 protons by calcium; Replacement of proton with ammonium ion; Mutation,7671,Photosystem I reaction center subunit IV
