,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,31,2017-01-08 01:08:51,742920.0478125,6.4534,377.8542,612.674
1,[31],2017-01-08 01:08:51,742920.0478125,6.4534,377.8542,612.674
2,[32],2017-01-08 20:54:16,742920.8710185185,8.9093,473.2879,829.5739999999998
3,[33],2017-01-09 03:09:31,742922.1316087963,7.3297,378.47069999999997,644.297
4,[34],2017-01-09 12:22:53,742922.5158912037,2.7218,189.826,345.754
5,[35],2017-01-10 08:32:45,742924.3560763889,3.0507999999999997,189.4663,341.962
6,[36],2017-01-10 14:03:42,742924.5859027777,4.345599999999999,284.512,507.454
7,[37],2017-01-10 23:11:26,742924.9662731482,8.6137,475.2154,826.767
8,[38],2017-01-11 04:05:00,742926.1701388889,5.362299999999999,282.7416,515.931
9,[39],2017-01-11 14:03:16,742926.5856018518,7.794400000000001,472.9529,759.741
10,[40],2017-01-12 05:05:22,742928.2120601851,7.7212,376.22209999999995,610.097
11,[41],2017-01-12 14:04:48,742928.5866666667,5.7073,378.30600000000004,624.013
12,[42],2017-01-12 19:11:38,742928.7997453704,6.8557999999999995,377.3564,635.603
13,[43],2017-01-13 12:18:03,742930.5125347222,9.399,566.0275,906.5029999999999
